51,空之境界 第五章 矛盾螺旋,1话 , 2008年8月16日 , 平尾隆之 、 奈須きのこ 、,8.4,4765人
52,攻壳机动队 S.A.C. Solid State Society,1话 , 2006年9月1日 ,,8.4,1405人
53,哆啦A梦 大山版,1787话 , 1979年4月2日 ,,8.5,464人
54,死亡笔记,37话 , 2006年10月4日 , 荒木哲郎 、 大場つぐみ、小畑健 、,8.4,6340人
55,百变之星,51话 , 2003年4月3日 , 佐藤順一、平池芳正（第27话以后） 、,8.4,783人
56,歌牌情缘2,25话 , 2013年1月11日 , 浅香守生 、 末次由紀（講談社「BE・LOVE」連載） 、,8.4,2288人
57,JOJO的奇妙冒险 星尘斗士 埃及篇,24话 , 2015年1月9日 ,,8.4,2412人
58,瑞克和莫蒂 第一季,11话 , 2013-12-02 ,,8.4,631人
59,星空清理者,26话 , 2003年10月4日 ,,8.4,1641人
60,新世纪福音战士剧场版 DEATH(TRUE)2/Air/真心为你,3话 , 1998年3月7日 , 庵野秀明 、,8.4,1979人
61,风之谷,1话 , 1984年3月11日 , 宮崎駿 、,8.3,3074人
62,银魂' 延长战,13话 , 2012年10月4日 ,,8.3,2291人
63,少女革命,39话 , 1997年4月2日 ,,8.4,1333人
64,排球少年 第二季,25话 , 2015年10月3日 , 古舘春一（集英社「週刊少年ジャンプ」連載） 、,8.3,1624人
65,JOJO的奇妙冒险,26话 , 2012年10月5日 , 荒木飛呂彦 、,8.3,3764人
66,棒球英豪,101话 , 1985年3月24日 , あだち充 、,8.4,1033人
67,钢之炼金术师,51话 , 2003年10月4日 , 水島精二 、 荒川弘 、 伊藤嘉之 、,8.3,4569人
68,乒乓, 11话 , 2014年4月10日 ,,8.3,3651人
69,福音战士新剧场版：序,1话 , 2007年9月1日 , 庵野秀明 、,8.3,5069人
70,星际牛仔 天国之扉,1话 , 2001年9月1日 , 矢立肇 、,8.3,1913人
71,猎人,62话 , 1999年10月16日 , 古橋一浩 、 冨樫義博 、,8.3,2173人
72,水星领航员 OVA,1话 , 2007年9月21日 , 佐藤順一 、 天野こずえ 、 古賀誠 、,8.4,627人
73,数码兽大冒险,54话 , 1999-03-07 , 本郷あきよし 、 中鶴勝祥 、,8.3,3465人
74,日常,26话 , 2011年4月2日 , 石原立也 、 あらゐけいいち 、 西屋太志 、,8.3,7345人
75,水星领航员 第二季,26话 , 2006年4月2日 , 佐藤順一 、 天野こずえ 、 古賀誠 、,8.3,1072人
76,机动战士高达 逆袭的夏亚,,1988年3月12日 , 富野由悠季 、 富野由悠季 、 北爪宏幸 、,8.3,982人
77,Code Geass 反叛的鲁路修,25话 , 2006年10月5日 , 谷口悟朗 、 木村貴宏 、,8.3,7859人
78,夏目友人帐 参,13话 , 2011年7月4日 , 大森貴弘 、 緑川ゆき 、 髙田晃 、,8.3,4921人
79,永生之酒,16话 , 2007年7月26日 , 大森貴弘 、 成田良悟 、 岸田隆宏 、,8.3,4797人
80,十二国记,45话 , 2002年4月9日 , 小林常夫、栗原ひばり(40話のみ) 、 小野不由美 、 田中比呂人、楠本祐子 、,8.3,1917人
81,机器人总动员,1话 , 2008-06-27 , Andrew Stanton 、,8.3,2490人
82,物怪,12话 , 2007年7月12日 ,,8.3,1989人
83,棋魂,75话 , 2001年10月10日 , 西澤晋、神谷純、えんどうてつや 、 ほったゆみ、小畑健 、 本橋秀之、関口可奈味、上田美由紀、芝美奈子 、,8.3,2428人
84,皇家国教骑士团 OVA,10话 , 2006年2月10日 , ところともかず（#1 - #4）、田中洋之（#5 - #7）、松村やすひろ（#8、#10）、鈴木健一（#9 - #10） 、 平野耕太 、,8.3,2293人
85,Heart Catch 光之美少女!,49话 , 2010年2月7日 , 長峯達也 、 東堂いづみ 、 馬越嘉彦 、,8.4,521人
86,王牌投手 振臂高挥,26话 , 2007年4月12日 ,,8.3,1387人
87,爆漫王。3,25话 , 2012年10月6日 , 秋田谷典昭 、 小畑健、大場つぐみ 、,8.3,2176人
88,哆啦A梦,,2005年4月15日 , 藤子・F・不二雄 、,8.3,1276人
89,飞跃巅峰！,6话 , 1988年10月7日 , 庵野秀明 、 岡田斗司夫 、,8.3,1763人
90,太空丹迪 第二季,13话 , 2014年7月6日 ,,8.3,1317人
91,王牌投手 振臂高挥～夏日大会篇～,14话 , 2010年4月1日 , 吉田隆彦 、,8.3,1035人
92,FLCL,6话 , 2000年4月26日 , 鶴巻和哉 、 GAINAX 、 貞本義行 、,8.3,2301人
93,虫师 续章 铃之雫,1话 , 2015年5月16日 ,,8.3,781人
94,化物语,15话 , 2009年7月3日 , 新房昭之 、 西尾維新「化物語」（講談社BOX） 、 渡辺明夫 、,8.2,8517人
95,水星领航员,13话 , 2005年10月5日 , 佐藤順一 、 天野こずえ 、 古賀誠 、,8.2,1635人
96,电脑线圈,26话 , 2007年5月12日 , 磯光雄 、 磯光雄 、 本田雄  、,8.2,2124人
97,新世纪福音战士剧场版 死与新生,2话 , 1997年3月15日 ,,8.2,2980人
98,魔法少女小圆 剧场版 [新篇] 叛逆的物语,1话 , 2013年10月26日 ,,8.2,3818人
99,虫师 蚀日之翳,1话 , 2014年1月4日 ,,8.3,1446人
100,∀高达,50话 , 1999年4月9日 , 富野由悠季 、 矢立肇、富野由悠季 、,8.3,788人
101,龙猫,1话 , 1988年4月16日 , 宮崎駿 、,8.2,3905人
102,东京教父,1话 , 2003年11月8日 , 今敏 、 今敏 、,8.2,1894人
103,比宇宙更远的地方,13话 , 2018年1月2日 , いしづかあつこ 、 よりもい 、 吉松孝博 、,8.2,2814人
104,来自新世界,25话 , 2012年9月28日 , 久保田誓（メイン）、清水祐実（サブ） 、,8.2,4932人
105,来自深渊,13话 , 2017年7月7日 , 小島正幸 、 つくしあきひと 、,8.2,3244人
106,3月的狮子,22话 , 2016年10月8日 , 新房昭之 、 羽海野チカ 、,8.2,2256人
107,Fate/Zero,25话 , 2011年10月1日 ,,8.2,10513人
108,全金属狂潮 校园篇,12话 , 2003年8月26日 ,,8.2,3581人
109,飞跃巅峰2！,6话 , 2004年11月26日 , 鶴巻和哉 、 GAINAX 、 貞本義行 、,8.2,1590人
110,回忆三部曲,3话 , 1995年12月23日 , 森本晃司、岡村天斎、大友克洋 、,8.2,1208人
111,幸运星,24话 , 2007年4月8日 , 山本寛（第1 - 4話）、武本康弘（第5 - 24話） 、 美水かがみ 、 堀口悠紀子 、,8.2,6263人
112,秒速5厘米,3话 , 2007年3月3日 , 新海誠 、 西村貴世 、,8.2,8190人
113,终物语（下）,7话 , 2017年8月12日 ,,8.2,1248人
114,宇宙兄弟,99话 , 2012年4月1日 , 渡辺歩 、 小山宙哉（講談社「モーニング」連載中） 、,8.2,1148人
115,日本动画（人）博览会,35话 , 2014年11月7日 ,,8.2,779人
116,JOJO的奇妙冒险 星尘斗士,24话 , 2014年4月4日 ,,8.2,2748人
117,猎人 OVA,8话 , 2002年1月17日 , 冨樫義博 、,8.2,755人
118,凉宫春日的忧郁,14话 , 2006年4月2日 , 石原立也 、 谷川流 、 池田晶子 、,8.1,6976人
119,机动战士高达 第08MS小队,11话 , 1996年1月25日 , 神田武幸（第1話 - 第6話）、飯田馬之介（第7話以降） 、 矢立肇、富野由悠季 、 川元利浩 、,8.2,1368人
120,命运石之门 0,24话 , 2018年4月11日 , 川村賢一 、 志倉千代丸／MAGES. 、,8.2,995人
122,交响诗篇,51话 , 2005年4月17日 , 京田知己 、 BONES 、,8.1,2001人
123,歌牌情缘,25话 , 2011年10月4日 , 浅香守生 、 末次由紀（講談社「BE・LOVE」連載） 、,8.1,3109人
124,冰菓,22话 , 2012年4月22日 , 武本康弘 、 米澤穂信 、,8.1,8803人
125,少女革命剧场版 思春期默示录,1话 , 1999年8月14日 ,,8.2,620人
126,空之境界 第七章 杀人考察（后）,1话 , 2009年8月8日 , 瀧沢進介（あおきえい、野中卓也、近藤光、平尾隆之、小船井充） 、 奈須きのこ 、 須藤友徳、高橋タクロヲ、小船井充 、,8.1,3978人
127,爆漫王。2,25话 , 2011年10月1日 ,,8.1,2537人
128,摇曳露营△,12话 , 2018年1月4日 , あfろ（芳文社「まんがタイムきららフォワード」連載） 、,8.1,2304人
129,昭和元禄落语心中,13话 , 2016年1月8日 , 小俣真一 、 雲田はるこ「昭和元禄落語心中」（講談社「ITAN」連載） 、,8.2,1426人
130,龙珠,153话 , 1986年2月26日 , 鳥山明（集英社「週刊少年ジャンプ」連載） 、,8.1,2203人
131,Code Geass 反叛的鲁路修R2,25话 , 2008年4月6日 , 谷口悟朗 、 木村貴宏 、,8.1,6750人
